-2.3602595,0.03840495,1.8202026,-0.5443781,-0.04355293,0.08798282,-0.2438116,-0.034272224,-0.11658089,0.35659245,0.042229056,0.0055222525,0.7864791,0.011135436,-0.12426213,1.0483634,0.03517234,0.083175205,0.020330314,0.025828611,-0.0022218423,-0.017980983,0.13454574,-0.117213115,-0.10672149,-0.13392533,0.110871226,0.07576367,0.026860539,0.0020057904,-0.2774707,0.101893574,0.27453342,-0.27552962,-0.055554226,-0.21043785,-0.105656944,0.051971238,0.010487501,0.060433526,0.07269191,-0.29590848,0.0507888,0.031618662,0.26037434,0.104869895,0.037333008,-0.0396715,0.23064044,-0.1225514,-0.942895,0.26938647,0.25175136,0.92436475,0.27447307,-1.657881,0.46410218,0.27990323,1.6748908,-0.4181545,-0.09979083,-0.13534844,0.16885309,-0.05694435,0.1518296,-0.16167088,0.0,0.0,0.0,0.0,0.0,0.0
-2.3731048,0.06917078,1.8732255,-0.4481666,-0.04290467,0.057052396,-0.24048585,-0.022218235,-0.08017474,0.31671417,0.030746633,0.006549906,0.78839433,0.010031389,-0.119662024,1.1574283,0.014013872,0.09450805,0.01480644,0.024806635,-0.000957487,-0.022243306,0.13605894,-0.09262568,-0.11120972,-0.13357727,0.094338425,0.07076143,0.021938704,-0.00012537875,-0.29098368,0.10455514,0.24455705,-0.28074083,-0.05002356,-0.19253394,-0.12579015,0.05351516,0.011245835,0.05536592,0.06208605,-0.30906534,0.04270468,0.033799842,0.26947266,0.11826655,0.037967987,-0.0463843,0.21958382,-0.16305707,-0.9727269,0.26570553,0.27631873,0.953011,0.25929853,-1.6161451,0.47135812,0.2603662,1.6321841,-0.42757857,-0.098232605,-0.124208346,0.15585971,-0.05677681,0.13897695,-0.14368635,0.0,0.0,0.0,0.0,0.0,0.0
-2.4792926,0.06535566,1.7490907,-0.40397826,-0.025287248,0.07572265,-0.42480513,-0.0054785833,-0.1439987,0.3859736,0.0020957948,0.020670094,0.8069619,-0.010187664,-0.1254433,1.4366286,0.012727366,0.1278481,0.02848804,0.02476626,0.017644586,-0.07693345,0.12170923,-0.05681633,-0.11617047,-0.11787713,0.10139881,0.05313171,0.008240453,0.010511557,-0.29444426,0.13416447,0.21580571,-0.30488315,-0.059200432,-0.19624026,-0.08258903,0.038835037,0.021270007,0.036769353,-0.007108607,-0.32393235,0.03836208,0.08196274,0.29186383,0.15059125,0.027712407,-0.029901113,0.16423467,-0.25717494,-0.9686848,0.25649077,0.29770175,0.9586197,0.20836408,-1.5927942,0.48864406,0.25508213,1.4980961,-0.37837934,-0.09534812,-0.09102204,0.18347932,-0.04569581,0.1020179,-0.14384407,0.0,0.0,0.0,0.0,0.0,0.0
-2.4662464,0.018119808,1.6993461,-0.31822544,0.010648075,0.141018,-0.47094223,-0.0036145633,-0.22302312,0.35865796,-0.013595866,0.021574091,0.7055037,-0.033411086,-0.11594576,1.4502391,0.0346408,0.120857075,0.042385302,0.01314568,0.023706632,-0.10586698,0.11495575,-0.066485345,-0.11827929,-0.11665954,0.13290359,0.049178325,-0.00968353,0.012152418,-0.2900727,0.15038434,0.22642705,-0.31412035,-0.055707518,-0.22663409,-0.06916475,0.047548976,0.025868574,0.037770137,-0.039090995,-0.31582883,0.0479521,0.073952675,0.28051218,0.14940003,0.03923772,-0.023329131,0.14790088,-0.2858337,-0.93210274,0.30167788,0.25780988,0.9486673,0.23266497,-1.592061,0.4536117,0.31252113,1.5646652,-0.35383666,-0.08969638,-0.09442915,0.17131074,-0.054446045,0.11488719,-0.12597002,0.0,0.0,0.0,0.0,0.0,0.0
-2.416607,-0.0017465103,1.7479696,-0.3212802,0.01103171,0.14643317,-0.5891267,0.005742725,-0.22699936,0.3751355,-0.021233816,0.023553306,0.8011183,-0.036607742,-0.12001985,1.5266109,0.007872432,0.14807998,0.03592451,0.016959744,0.031112313,-0.109341934,0.12298966,-0.060072128,-0.109594285,-0.12113214,0.12864543,0.053888366,-0.013353119,0.018194564,-0.30210155,0.145295,0.2188372,-0.3154934,-0.059185002,-0.23149627,-0.056873977,0.05488066,0.023338446,0.034885027,-0.07340434,-0.27039233,0.04841745,0.10303661,0.25943732,0.16009696,0.033116356,-0.019092424,0.13771853,-0.33415765,-0.92041194,0.30550516,0.29584226,0.9672612,0.2495319,-1.6113019,0.44791278,0.33807474,1.5373256,-0.33750907,-0.06797299,-0.09274841,0.18077256,-0.038160693,0.10656166,-0.12598512,0.0,0.0,0.0,0.0,0.0,0.0
-2.2002838,-0.043544453,2.0746703,-0.68681616,-0.086806506,0.08653739,-0.3739477,0.015642375,-0.06818541,0.45689532,0.024141714,0.008585537,1.52871,0.011767387,-0.18829377,0.71160614,-0.00803914,0.06729187,-0.0011556518,0.008093297,0.011185839,-0.082688816,0.11430596,-0.076870345,-0.0879668,-0.119795956,0.051232617,0.063243605,0.01348672,0.016652996,-0.31906298,0.113626316,0.18030667,-0.23856364,-0.102704726,-0.19971678,-0.07854966,0.044160746,-0.0060401727,-0.0019133914,-0.089440264,-0.23568106,0.009845709,0.15875062,0.23736338,0.16906711,0.043677583,-0.024198938,0.10557129,-0.36128157,-0.94545525,0.18334228,0.39049435,0.94508094,0.11512475,-1.7423241,0.6077995,0.18523523,1.598137,-0.4993291,-0.107209384,-0.11428424,0.23818302,-0.06772812,0.104013205,-0.20420061,0.0,0.0,0.0,0.0,0.0,0.0
-2.1808898,0.002785672,2.1175086,-0.797077,-0.112232246,0.06678025,-0.3062612,0.0040371446,-0.065937355,0.46472174,0.048000455,0.0079165,1.5281799,0.025719825,-0.20214522,0.71370167,-0.0024014625,0.065018214,-0.00019520326,0.023330545,0.0005421009,-0.06403242,0.12383276,-0.08316198,-0.099810615,-0.1282901,0.041950174,0.054670535,0.037773795,0.012422642,-0.30459613,0.103018664,0.19353144,-0.22632867,-0.0807972,-0.18372835,-0.09072546,0.04732948,-0.02057999,-0.034368888,-0.16594458,-0.20036632,0.0113327615,0.26757762,0.22227041,0.15554807,0.03399136,-0.018253513,0.07520605,-0.4224738,-0.8782467,0.1672931,0.4419699,0.8844607,0.101799645,-1.7446492,0.60572517,0.2363913,1.3532089,-0.35994732,-0.08565427,-0.12357068,0.24139865,-0.021949176,0.093326755,-0.17508133,0.0,0.0,0.0,0.0,0.0,0.0
-2.4303865,0.066752255,1.7534479,-0.116538145,0.024030184,0.1928574,-0.97942704,0.08050164,-0.2006774,0.41241395,-0.08572317,0.0291296,0.71256745,-0.12614615,-0.068475075,1.418209,-0.08015143,0.17876194,0.014571293,0.020281488,0.035110172,-0.0819777,0.119548835,-0.08264992,-0.052762765,-0.11157374,0.1660283,0.035567366,-0.04712587,0.025282819,-0.3115327,0.14081994,0.2011277,-0.2540986,-0.07238,-0.29072112,-0.11583323,0.0654932,0.0015464671,-0.00396456,-0.18272787,-0.21309032,0.002633,0.13239413,0.2394287,0.121620275,0.02485496,-0.024913454,0.05010359,-0.5271932,-0.8771432,0.19771542,0.30123806,0.97839385,0.13666311,-1.7288175,0.57565665,0.15416719,1.4708588,-0.46315813,-0.09476082,-0.11251962,0.24970372,-0.06686584,0.0940624,-0.17281663,0.0,0.0,0.0,0.0,0.0,0.0
-2.3477118,0.112068415,1.9334267,-0.2617197,0.0053083305,0.21476236,-0.81743664,0.0371449,-0.18533027,0.41782743,-0.06356803,0.023793332,0.9734391,-0.09660493,-0.08643763,1.0541807,-0.08107403,0.13216123,0.017104572,0.011451971,0.018452456,-0.06454372,0.11458388,-0.11008949,-0.03791748,-0.11279569,0.14496385,0.04478941,-0.031186294,0.019012056,-0.31549692,0.13841769,0.21066676,-0.23768884,-0.102934286,-0.28454566,-0.06634334,0.05246248,-0.0054572863,0.0002518894,-0.17755091,-0.2117524,-0.0029924747,0.16166654,0.19794667,0.17033778,0.0340953,-0.024925185,0.06401256,-0.50768745,-0.9339336,0.17769374,0.40482906,0.97244763,0.11503626,-1.6957171,0.584273,0.14716156,1.6262177,-0.52981055,-0.11258414,-0.10934094,0.24627125,-0.08978751,0.106127754,-0.20448351,0.0,0.0,0.0,0.0,0.0,0.0
-2.3729348,0.053025223,1.8716078,0.10459291,0.09880412,0.20903257,-0.9618929,0.09402599,-0.22106668,0.3394602,-0.14202748,0.04033139,0.5260935,-0.19423865,-0.055564765,1.1236641,-0.095368,0.14478107,0.028093657,0.012666243,0.042776335,-0.09030505,0.115274504,-0.100383475,-0.016925266,-0.10728122,0.2103719,0.029395143,-0.07577066,0.02929781,-0.29167622,0.14397225,0.19059591,-0.21886356,-0.08857266,-0.34531012,-0.051842026,0.032765146,0.004918959,0.017200762,-0.14843017,-0.22549205,-0.008551107,0.051926184,0.2152361,0.17026126,0.024602696,-0.020728357,0.069839776,-0.55244577,-0.9389891,0.18780085,0.24109454,1.0022978,0.14273554,-1.7631434,0.5805339,0.10130007,1.6101907,-0.5438301,-0.1486169,-0.120571196,0.23673044,-0.12036373,0.106981136,-0.17174165,0.0,0.0,0.0,0.0,0.0,0.0
